@relation detectMovementType

@attribute mean numeric
@attribute stdDeviation numeric
@attribute min numeric
@attribute max numeric
@attribute movementType {walking,biking,driving}
@attribute sensor {accelerometer}

@data
9.896404,2.548663,4.082862,19.207796,biking,accelerometer
9.839122,1.984332,5.519026,14.142111,biking,accelerometer
9.841173,2.021745,5.94281,14.047264,biking,accelerometer
9.866678,2.111287,4.837701,14.047264,biking,accelerometer
9.882524,2.142448,4.837701,13.751231,biking,accelerometer
9.915319,2.169843,5.445201,13.751231,biking,accelerometer
9.703141,2.421755,5.051033,14.590742,biking,accelerometer
9.525871,2.466193,5.051033,14.590742,biking,accelerometer
9.580896,2.424009,5.481658,14.682916,biking,accelerometer
9.791145,2.549351,4.957642,17.648479,biking,accelerometer
10.089283,1.995268,4.957642,17.648479,biking,accelerometer
10.058241,0.922871,7.508785,13.942614,biking,accelerometer
9.856031,0.540536,8.74641,11.404728,biking,accelerometer
9.902374,0.682742,8.345464,11.760117,biking,accelerometer
10.002084,0.939851,8.049067,14.146497,biking,accelerometer
9.926998,1.334971,6.424756,14.941365,biking,accelerometer
10.126886,1.629045,6.424756,18.907305,biking,accelerometer
10.408098,1.633962,6.826486,18.907305,biking,accelerometer
9.922544,1.32468,6.67439,15.313228,biking,accelerometer
9.500504,0.950983,5.159657,12.869496,biking,accelerometer
9.48636,0.858244,5.159657,12.869496,biking,accelerometer
9.424449,0.39257,8.082162,10.721322,biking,accelerometer
9.425322,0.293415,8.082162,10.313553,biking,accelerometer
9.418119,0.179859,8.91031,9.923223,biking,accelerometer
9.405638,0.202284,8.338297,10.165192,biking,accelerometer
9.276077,0.481033,7.318404,10.499379,biking,accelerometer
9.378498,0.890268,7.318404,11.766913,biking,accelerometer
9.559477,0.953085,7.268771,12.463782,biking,accelerometer
9.414034,0.732918,7.268771,12.463782,biking,accelerometer
9.273519,0.959924,6.379471,12.939548,biking,accelerometer
9.855011,1.369685,6.379471,15.21995,biking,accelerometer
10.494946,2.338482,4.282485,21.250311,biking,accelerometer
10.24014,2.363603,4.282485,21.250311,biking,accelerometer
10.212221,1.655629,6.866478,15.883604,biking,accelerometer
10.193135,1.957471,6.021603,15.883604,biking,accelerometer
10.110712,1.90102,6.021603,13.937637,biking,accelerometer
10.031969,2.17246,5.809431,14.968178,biking,accelerometer
9.95634,2.727703,4.549716,14.968178,biking,accelerometer
10.09797,3.154846,4.517911,15.481908,biking,accelerometer
10.04137,2.414641,4.517911,15.481908,biking,accelerometer
10.038708,0.678212,8.552692,12.502698,biking,accelerometer
10.081881,0.412902,8.937079,11.491133,biking,accelerometer
10.136592,0.776205,7.575407,13.023568,biking,accelerometer
10.100425,1.928605,4.829443,17.899185,biking,accelerometer
10.250474,2.141188,4.829443,17.899185,biking,accelerometer
10.262812,1.727148,4.858283,15.48297,biking,accelerometer
9.942497,1.995846,4.858283,16.033121,biking,accelerometer
9.926385,1.884786,5.950793,16.033121,biking,accelerometer
10.281313,1.874443,6.040334,17.197306,biking,accelerometer
10.309272,1.970552,6.559015,17.197306,biking,accelerometer
9.942652,1.91223,4.88348,14.969431,biking,accelerometer
9.814109,1.884124,4.88348,14.494109,biking,accelerometer
10.192848,1.764618,5.961471,14.360058,biking,accelerometer
10.188092,2.102787,5.75931,15.573201,biking,accelerometer
9.870155,2.23454,5.246621,15.573201,biking,accelerometer
9.978447,1.803858,5.246621,14.657843,biking,accelerometer
10.128048,1.41403,6.282428,13.55365,biking,accelerometer
10.271103,1.352425,6.282428,13.55365,biking,accelerometer
